,Date,Weekday,Open,High,Low,Close,Adj Close,Volume
152,2010-08-18,Wednesday,16952.0,17012.0,16952.0,17010.0,17009.6,208228451
153,2010-08-21,Saturday,17049.0,17060.0,16975.0,16975.0,16974.6,180782413
154,2010-08-22,Sunday,16981.0,16984.0,16958.0,16958.0,16957.6,128467541
155,2010-08-23,Monday,16990.0,17117.0,16990.0,17117.0,17116.7,166586919
156,2010-08-24,Tuesday,17136.0,17153.0,17115.0,17153.0,17152.7,262420041
157,2010-08-25,Wednesday,17180.0,17238.0,17180.0,17233.0,17233.1,204370870
158,2010-08-28,Saturday,17271.0,17401.0,17271.0,17401.0,17401.0,359944192
159,2010-08-29,Sunday,17443.0,17768.0,17443.0,17768.0,17767.8,288380554
160,2010-08-30,Monday,17838.0,17944.0,17838.0,17938.0,17938.0,331446555
161,2010-08-31,Tuesday,17940.0,17956.0,17936.0,17956.0,17955.7,773558408
162,2010-09-04,Saturday,18044.0,18316.0,18044.0,18316.0,18315.8,259943797
163,2010-09-05,Sunday,18416.0,18638.0,18416.0,18636.0,18636.1,358195683
164,2010-09-06,Monday,18717.0,18720.0,18648.0,18648.0,18648.2,275407834
165,2010-09-07,Tuesday,18679.0,18679.0,18459.0,18459.0,18458.9,756582268
166,2010-09-08,Wednesday,18440.0,18440.0,18390.0,18430.0,18429.6,436068037
167,2010-09-12,Sunday,18452.0,18534.0,18452.0,18533.0,18533.4,131013447
168,2010-09-13,Monday,18569.0,18610.0,18534.0,18534.0,18533.7,202855124
169,2010-09-14,Tuesday,18551.0,18551.0,18539.0,18543.0,18543.1,135499142
170,2010-09-15,Wednesday,18549.0,18560.0,18530.0,18556.0,18555.7,137707428
171,2010-09-18,Saturday,18578.0,18676.0,18578.0,18658.0,18657.7,179417543
172,2010-09-19,Sunday,18663.0,18663.0,18488.0,18488.0,18487.6,202994172
173,2010-09-20,Monday,18493.0,18493.0,18303.0,18303.0,18303.3,181525662
174,2010-09-21,Tuesday,18292.0,18413.0,18270.0,18413.0,18413.0,156680239
175,2010-09-22,Wednesday,18477.0,18549.0,18477.0,18549.0,18548.6,132004796
176,2010-09-25,Saturday,18581.0,18682.0,18581.0,18673.0,18673.3,162847074
177,2010-09-26,Sunday,18685.0,18685.0,18528.0,18528.0,18527.8,129813292
178,2010-09-27,Monday,18506.0,18506.0,18406.0,18406.0,18405.6,210951608
179,2010-09-28,Tuesday,18395.0,18544.0,18395.0,18535.0,18535.3,213303754
180,2010-09-29,Wednesday,18564.0,18673.0,18564.0,18671.0,18671.3,156251932
181,2010-10-02,Saturday,18711.0,18800.0,18711.0,18790.0,18790.4,162936190
182,2010-10-03,Sunday,18822.0,18834.0,18762.0,18762.0,18762.4,187435376
183,2010-10-05,Tuesday,18764.0,18766.0,18750.0,18750.0,18749.9,138897449
184,2010-10-06,Wednesday,18759.0,18885.0,18759.0,18872.0,18871.8,178844353
185,2010-10-09,Saturday,18977.0,19003.0,18938.0,18938.0,18937.7,181030660
186,2010-10-10,Sunday,18943.0,18943.0,18642.0,18642.0,18642.0,172965340
187,2010-10-11,Monday,18638.0,18638.0,18564.0,18564.0,18564.0,147923060
188,2010-10-12,Tuesday,18554.0,18554.0,18283.0,18283.0,18283.0,169892710
189,2010-10-13,Wednesday,18257.0,18265.0,17896.0,17902.0,17902.5,137461925
190,2010-10-16,Saturday,17851.0,17973.0,17833.0,17973.0,17973.1,152942144
191,2010-10-17,Sunday,18010.0,18111.0,18010.0,18111.0,18111.1,104436781
192,2010-10-18,Monday,18145.0,18345.0,18145.0,18344.0,18343.8,136220094
193,2010-10-19,Tuesday,18407.0,18418.0,18293.0,18293.0,18292.9,143578748
194,2010-10-20,Wednesday,18292.0,18292.0,18230.0,18230.0,18229.5,80175247
195,2010-10-23,Saturday,18237.0,18346.0,18237.0,18325.0,18324.6,104528143
196,2010-10-24,Sunday,18321.0,18321.0,18164.0,18164.0,18163.7,105045511
197,2010-10-25,Monday,18137.0,18137.0,18036.0,18036.0,18035.9,105456311
198,2010-10-26,Tuesday,18038.0,18057.0,18006.0,18006.0,18006.1,83742824
199,2010-10-27,Wednesday,18008.0,18008.0,17948.0,17956.0,17956.4,80783241
200,2010-10-30,Saturday,17963.0,18035.0,17963.0,18035.0,18034.9,96297600
201,2010-10-31,Sunday,18053.0,18079.0,18011.0,18011.0,18011.0,85283569
202,2010-11-01,Monday,18014.0,18014.0,17973.0,17973.0,17972.9,67588373
203,2010-11-02,Tuesday,17973.0,17976.0,17958.0,17960.0,17960.5,75637904
204,2010-11-03,Wednesday,17959.0,17977.0,17959.0,17977.0,17976.7,116782598
205,2010-11-06,Saturday,17984.0,18090.0,17984.0,18090.0,18089.8,102635264
206,2010-11-07,Sunday,18093.0,18098.0,18016.0,18016.0,18015.9,126159340
207,2010-11-08,Monday,18010.0,18010.0,17970.0,17970.0,17969.5,75967796
208,2010-11-09,Tuesday,17977.0,18038.0,17977.0,18038.0,18038.5,103498633
209,2010-11-10,Wednesday,18070.0,18114.0,18070.0,18113.0,18113.4,91429615
210,2010-11-13,Saturday,18118.0,18119.0,18044.0,18044.0,18044.3,83208785
211,2010-11-14,Sunday,18050.0,18056.0,18042.0,18042.0,18042.1,274935854
212,2010-11-15,Monday,18079.0,18110.0,18036.0,18036.0,18035.6,91592378
213,2010-11-16,Tuesday,18034.0,18036.0,18020.0,18021.0,18021.0,189961237
214,2010-11-20,Saturday,18022.0,18073.0,18022.0,18062.0,18062.5,106277223
215,2010-11-21,Sunday,18065.0,18141.0,18065.0,18134.0,18133.7,156315671
216,2010-11-22,Monday,18134.0,18273.0,18134.0,18258.0,18257.8,178658821
217,2010-11-23,Tuesday,18264.0,18264.0,18226.0,18227.0,18226.6,98046600
218,2010-11-24,Wednesday,18226.0,18289.0,18226.0,18289.0,18289.2,98254928
219,2010-11-27,Saturday,18301.0,18431.0,18301.0,18428.0,18427.7,104375710
220,2010-11-28,Sunday,18436.0,18463.0,18404.0,18404.0,18404.5,204267641
221,2010-11-29,Monday,18405.0,18405.0,18285.0,18285.0,18284.7,343118577
222,2010-11-30,Tuesday,18281.0,18281.0,18243.0,18243.0,18242.6,78442221
223,2010-12-01,Wednesday,18247.0,18280.0,18247.0,18280.0,18280.0,110829467
224,2010-12-04,Saturday,18286.0,18299.0,18286.0,18292.0,18292.4,98215627
225,2010-12-05,Sunday,18296.0,18338.0,18293.0,18319.0,18319.3,93292287
226,2010-12-06,Monday,18316.0,18319.0,18292.0,18292.0,18291.9,76759123
227,2010-12-07,Tuesday,18293.0,18317.0,18291.0,18317.0,18317.3,132222013
228,2010-12-08,Wednesday,18324.0,18371.0,18324.0,18371.0,18371.2,107806050
229,2010-12-11,Saturday,18388.0,18469.0,18388.0,18460.0,18460.3,82165404
230,2010-12-12,Sunday,18484.0,18485.0,18444.0,18444.0,18443.7,78172786
231,2010-12-13,Monday,18446.0,18448.0,18415.0,18415.0,18414.7,89859832
232,2010-12-14,Tuesday,18414.0,18415.0,18406.0,18414.0,18414.3,59056214
233,2010-12-18,Saturday,18421.0,18431.0,18366.0,18366.0,18366.4,105041287
234,2010-12-19,Sunday,18377.0,18377.0,18203.0,18203.0,18203.4,128833693
235,2010-12-20,Monday,18207.0,18250.0,18207.0,18250.0,18249.7,74208835
236,2010-12-21,Tuesday,18258.0,18376.0,18258.0,18353.0,18353.1,99248936
237,2010-12-22,Wednesday,18352.0,18410.0,18352.0,18399.0,18398.9,83806136
238,2010-12-25,Saturday,18437.0,18586.0,18437.0,18586.0,18585.8,131291490
239,2010-12-26,Sunday,18631.0,18723.0,18631.0,18723.0,18723.1,156978567
240,2010-12-27,Monday,18747.0,18757.0,18683.0,18689.0,18689.0,124458618
241,2010-12-28,Tuesday,18697.0,18774.0,18697.0,18771.0,18771.4,137384214
242,2010-12-29,Wednesday,18802.0,18867.0,18802.0,18855.0,18855.2,213007317
243,2011-01-01,Saturday,18885.0,18908.0,18849.0,18849.0,18849.1,90076715
244,2011-01-02,Sunday,18849.0,18899.0,18848.0,18898.0,18898.1,106213695
245,2011-01-03,Monday,18890.0,19021.0,18890.0,19021.0,19021.0,214754684
246,2011-01-04,Tuesday,19019.0,19200.0,19019.0,19200.0,19200.4,123616822
247,2011-01-05,Wednesday,19238.0,19362.0,19238.0,19362.0,19361.5,447734859
248,2011-01-08,Saturday,19369.0,19460.0,19369.0,19452.0,19451.5,177746384
249,2011-01-09,Sunday,19451.0,19700.0,19451.0,19700.0,19699.9,421568151
250,2011-01-10,Monday,19734.0,19823.0,19682.0,19691.0,19690.9,495911218
251,2011-01-11,Tuesday,19663.0,19780.0,19647.0,19779.0,19778.6,206947898
252,2011-01-12,Wednesday,19786.0,19802.0,19759.0,19759.0,19759.1,148537241
253,2011-01-15,Saturday,19744.0,19766.0,19705.0,19705.0,19705.3,126315486
254,2011-01-16,Sunday,19714.0,19831.0,19714.0,19831.0,19830.6,166261354
255,2011-01-17,Monday,19882.0,19907.0,19882.0,19905.0,19904.7,198485692
256,2011-01-18,Tuesday,19933.0,19942.0,19930.0,19938.0,19937.9,235589631
257,2011-01-19,Wednesday,20014.0,20207.0,20014.0,20207.0,20206.6,282045273
258,2011-01-22,Saturday,20206.0,20353.0,20206.0,20353.0,20352.7,298718150
259,2011-01-23,Sunday,20421.0,20421.0,20400.0,20416.0,20416.0,193496437
260,2011-01-24,Monday,20416.0,20463.0,20416.0,20463.0,20462.6,162893811
261,2011-01-26,Wednesday,20462.0,20690.0,20462.0,20685.0,20684.8,183487574
262,2011-01-29,Saturday,20715.0,20938.0,20715.0,20906.0,20905.9,166481765
263,2011-01-30,Sunday,20916.0,20919.0,20877.0,20878.0,20877.6,131774826
264,2011-01-31,Monday,20880.0,20999.0,20880.0,20997.0,20997.1,213989502
265,2011-02-01,Tuesday,21055.0,21349.0,21055.0,21349.0,21349.4,218114066
266,2011-02-05,Saturday,21428.0,21811.0,21428.0,21811.0,21810.7,310454275
267,2011-02-06,Sunday,21908.0,21908.0,21833.0,21840.0,21840.0,342749972
268,2011-02-07,Monday,21842.0,21964.0,21842.0,21944.0,21944.4,243592523
269,2011-02-08,Tuesday,21945.0,21962.0,21867.0,21867.0,21867.4,150559513
270,2011-02-09,Wednesday,21868.0,21935.0,21868.0,21929.0,21929.0,171546808
271,2011-02-12,Saturday,21930.0,22014.0,21930.0,22000.0,22000.5,168269794
272,2011-02-13,Sunday,21991.0,22136.0,21991.0,22136.0,22136.5,155370622
273,2011-02-14,Monday,22134.0,22268.0,22134.0,22260.0,22260.4,245331963
274,2011-02-15,Tuesday,22263.0,22324.0,22263.0,22270.0,22270.4,178695248
275,2011-02-16,Wednesday,22248.0,22248.0,22168.0,22188.0,22188.3,176118692
276,2011-02-19,Saturday,22198.0,22200.0,22090.0,22090.0,22090.3,122153446
277,2011-02-20,Sunday,22087.0,22087.0,21762.0,21762.0,21762.2,107562410
278,2011-02-22,Tuesday,21754.0,21789.0,21721.0,21739.0,21739.4,189374740
279,2011-02-23,Wednesday,21755.0,21770.0,21750.0,21750.0,21749.5,181064082
280,2011-02-26,Saturday,21733.0,21874.0,21733.0,21868.0,21867.9,151061234
281,2011-02-27,Sunday,21864.0,21921.0,21864.0,21900.0,21900.5,145648817
282,2011-02-28,Monday,21888.0,21888.0,21663.0,21663.0,21663.3,157620419
283,2011-03-01,Tuesday,21663.0,21663.0,21473.0,21473.0,21472.9,158401013
284,2011-03-02,Wednesday,21469.0,21694.0,21469.0,21694.0,21694.0,125057349
285,2011-03-05,Saturday,21688.0,21843.0,21688.0,21843.0,21843.2,286065107
286,2011-03-06,Sunday,21894.0,21950.0,21894.0,21929.0,21929.3,287112360
287,2011-03-07,Monday,21947.0,21948.0,21886.0,21892.0,21891.8,445109206
288,2011-03-08,Tuesday,21888.0,22034.0,21888.0,22033.0,22033.2,606650889
289,2011-03-09,Wednesday,22033.0,22115.0,22033.0,22063.0,22062.6,340443960
290,2011-03-12,Saturday,22054.0,22054.0,21895.0,21895.0,21895.2,263918143
291,2011-03-13,Sunday,21894.0,22009.0,21894.0,22009.0,22008.8,429574529
292,2011-03-14,Monday,22014.0,22237.0,22014.0,22237.0,22236.9,292547684
293,2011-03-15,Tuesday,22300.0,22456.0,22300.0,22456.0,22455.7,295140049
294,2011-03-16,Wednesday,22459.0,22804.0,22459.0,22804.0,22803.8,268393144
295,2011-03-19,Saturday,22809.0,23295.0,22809.0,23295.0,23294.9,243913291
296,2011-03-26,Saturday,23296.0,23757.0,23296.0,23756.0,23756.3,117861426
297,2011-03-27,Sunday,23854.0,24213.0,23854.0,24200.0,24199.8,238991735
298,2011-03-28,Monday,24227.0,24288.0,24227.0,24288.0,24287.8,196893748
299,2011-03-29,Tuesday,24351.0,24496.0,24351.0,24487.0,24486.6,208331767
300,2011-03-30,Wednesday,24496.0,24605.0,24486.0,24486.0,24486.0,351614115
301,2011-04-03,Sunday,24498.0,24590.0,24498.0,24544.0,24543.6,168166898
302,2011-04-04,Monday,24553.0,25023.0,24553.0,25023.0,25023.3,365600011
303,2011-04-05,Tuesday,25035.0,25550.0,25035.0,25550.0,25550.4,411796754
304,2011-04-06,Wednesday,25556.0,25885.0,25556.0,25885.0,25885.1,537444380
305,2011-04-09,Saturday,25908.0,26272.0,25908.0,26223.0,26222.7,810324968
306,2011-04-10,Sunday,26227.0,26260.0,26003.0,26003.0,26002.6,567074007
307,2011-04-11,Monday,26014.0,26252.0,26014.0,26145.0,26145.2,393088493
308,2011-04-12,Tuesday,26175.0,26464.0,26175.0,26413.0,26412.7,389360596
309,2011-04-13,Wednesday,26492.0,26542.0,26466.0,26542.0,26541.9,398528065
310,2011-04-16,Saturday,26552.0,26757.0,26552.0,26676.0,26675.9,354163235
311,2011-04-17,Sunday,26691.0,26694.0,26447.0,26447.0,26446.6,221416580
312,2011-04-18,Monday,26470.0,26523.0,26429.0,26429.0,26429.2,375326970
313,2011-04-19,Tuesday,26428.0,26452.0,26215.0,26215.0,26215.4,206662214
314,2011-04-20,Wednesday,26210.0,26482.0,26210.0,26482.0,26481.5,244678296
315,2011-04-23,Saturday,26508.0,26618.0,26508.0,26610.0,26610.1,306355776
316,2011-04-24,Sunday,26629.0,26641.0,26540.0,26540.0,26539.7,254846253
